id,author,updated_time,device,spent,stars,contents,ups,downs
24420387,神奇而小伟21,1619545669,OPPO A8,81762,2,个人感觉还好就是不优化健康系统我一个19岁的学生被弟绑了他的身份证一天只能玩1.5个小时给客服打电话客服说请把你家长找过来我和你家长沟通一下（因为我没变声他们认为我是个小孩）说了半天家长也同意了结果给我来了个10年大礼包现在用的是新号真他妈好玩,1,0
24420357,手机用户101721273,1619545466,华为畅享9 Plus,0,3,快12G了，不知道为啥这么占内存,0,0
18626820,天人,1619543518,小米Redmi K30 Pro,17518,1,说白了这游戏，根本是游戏在玩你，不是你在玩游戏给一星都恶心，皮肤你tm出的快，你阿妈那鸡粪匹配系统恶心谁，早晚倒闭你依托QQ微信两大社交平台，用户基数在那，别的同类游戏在竞争中没有你这样的资源，让人留在王者更多的是社交，而不是你这玩意有多优秀那知乎居然有人问为什么TapTap王者跑分那么低？你觉得这么多评价都是和你一样的瓜p吗？？？我祝福你们全体游戏制作组不得恏亖,5,0
24420027,子旭,1619543356,华为P20,120001,1,这游戏巨好玩，好玩在哪呢他可以通地府让你跟阴间的人一起玩，真的赶紧下载吧一起成为捉鬼师⊙&omega;⊙,0,0
22146899,宇智波x人妖王,1619542471,小米MI MAX 2,78210,3,啊退坑了 渐渐的周围的人也不玩王者了 一个人坚持不下去了  无数次的下载 可能有30多次安装吧 可能以后还会下载 但是那时候可能玩一会就删了 再见了,2,1
24419822,迟到的誓言,1619542226,Vivo IQOO Neo3,61696,3,这游戏玩了8000多吧，现在出来工作了，就不是很想玩了,0,0
24419348,Devil丶May丶Cry,1619540101,华为P40,0,1,垃圾游戏，废物游戏，辣鸡匹配系统，不想让赢直说，直接网络波动，真有你的，垃圾腾讯，废物腾讯。,0,0
24419100,蒋佳恩,1619539052,华为NOP-AN00,7499,5,玩游戏，最重要的就是开心嘛！和朋友一起玩很开心。因为王者我都快心悦2了,0,0
24418917,jsjjx,1619538391,,0,4,还行吧，毕竟是游戏嘛，以娱乐为主,0,0
24418745,似馀,1619537802,华为畅享9 Plus,90910,2,游戏优化太差了，elo机制很难连胜，有时网是好的却也很卡,1,0
21794238,7tan,1619537489,华为 荣耀30S,20286,2,s3赛季开始玩的，被elo机制安排地明明白白，累了嗷,0,0
24418486,猎妈人,1619537106,,0,2,我英雄联盟s8峡谷宗师687点就这游戏质量，机制玩法，就这还能去腾讯上班?我用脚扣的都比他做得好全是小学生，硬性平衡机制英雄无脑强度，全是BT英雄bug多的数都数不过来，光我遇到的都有橘右京一技能方向bug，盘古二段攻速bug，貂蝉大招不出发bug，平a消失bug，技能消失bug，基本上每天都在触发，游戏做的烂的，皮肤做的烂的，一堆小学玩真的无脑，还有开修改器的不封号，真可笑啊，举报系统无效，骂人封号，送人头不封号，真有意思，这游戏的巅峰2300分我感觉也就白银水平啊，黄金都不能再多了 民智未开没办法,2,0
