id,author,updated_time,device,spent,stars,contents,net_support,heat,score
24420387,神奇而小伟21,2021-04-28,OPPO A8,81762.0,2,个人感觉还好就是不优化健康系统我一个19岁的学生被弟绑了他的身份证一天只能玩1.5个小时给客服打电话客服说请把你家长找过来我和你家长沟通一下（因为我没变声他们认为我是个小孩）说了半天家长也同意了结果给我来了个10年大礼包现在用的是新号真他妈好玩,1,0.0010362694300518134,4
24420357,手机用户101721273,2021-04-28,华为畅享9 Plus,,3,快12G了，不知道为啥这么占内存,0,0.0,6
18626820,天人,2021-04-28,小米Redmi K30 Pro,17518.0,1,说白了这游戏，根本是游戏在玩你，不是你在玩游戏给一星都恶心，皮肤你tm出的快，你阿妈那鸡粪匹配系统恶心谁，早晚倒闭你依托QQ微信两大社交平台，用户基数在那，别的同类游戏在竞争中没有你这样的资源，让人留在王者更多的是社交，而不是你这玩意有多优秀那知乎居然有人问为什么TapTap王者跑分那么低？你觉得这么多评价都是和你一样的瓜p吗？？？我祝福你们全体游戏制作组不得恏亖,5,0.0051813471502590676,2
24420027,子旭,2021-04-28,华为P20,120001.0,1,这游戏巨好玩，好玩在哪呢他可以通地府让你跟阴间的人一起玩，真的赶紧下载吧一起成为捉鬼师⊙⊙,0,0.0,2
22146899,宇智波x人妖王,2021-04-28,小米MI MAX 2,78210.0,3,啊退坑了 渐渐的周围的人也不玩王者了 一个人坚持不下去了  无数次的下载 可能有30多次安装吧 可能以后还会下载 但是那时候可能玩一会就删了 再见了,1,0.0031088082901554403,6
24419822,迟到的誓言,2021-04-28,Vivo IQOO Neo3,61696.0,3,这游戏玩了8000多吧，现在出来工作了，就不是很想玩了,0,0.0,6
24419348,Devil丶May丶Cry,2021-04-28,华为P40,,1,垃圾游戏，废物游戏，辣鸡匹配系统，不想让赢直说，直接网络波动，真有你的，垃圾腾讯，废物腾讯。,0,0.0,2
24419100,蒋佳恩,2021-04-27,华为NOP-AN00,7499.0,5,玩游戏，最重要的就是开心嘛！和朋友一起玩很开心。因为王者我都快心悦2了,0,0.0,10
24418917,jsjjx,2021-04-27,,,4,还行吧，毕竟是游戏嘛，以娱乐为主,0,0.0,8
24418745,似馀,2021-04-27,华为畅享9 Plus,90910.0,2,游戏优化太差了，elo机制很难连胜，有时网是好的却也很卡,1,0.0010362694300518134,4
21794238,7tan,2021-04-27,华为 荣耀30S,20286.0,2,s3赛季开始玩的，被elo机制安排地明明白白，累了嗷,0,0.0,4
24418486,猎妈人,2021-04-27,,,2,我英雄联盟s8峡谷宗师687点就这游戏质量，机制玩法，就这还能去腾讯上班?我用脚扣的都比他做得好全是小学生，硬性平衡机制英雄无脑强度，全是BT英雄bug多的数都数不过来，光我遇到的都有橘右京一技能方向bug，盘古二段攻速bug，貂蝉大招不出发bug，平a消失bug，技能消失bug，基本上每天都在触发，游戏做的烂的，皮肤做的烂的，一堆小学玩真的无脑，还有开修改器的不封号，真可笑啊，举报系统无效，骂人封号，送人头不封号，真有意思，这游戏的巅峰2300分我感觉也就白银水平啊，黄金都不能再多了 民智未开没办法,2,0.002072538860103627,4
24418334,奶味肾肾,2021-04-27,,87531.0,1,怎么说呢，如果可以我甚至连一分都不想给。那所谓的ELO机制大家比我理解吧就不多提了。咱来说说那些脑瘫策划吧，高操作高上限的英雄就一直削一直削，逼大家去玩妲己安琪拉鲁班七号吗？？皮肤倒是出的一个比一个勤快，游戏体验却一直在走下坡路。以前的王者，一来就是我玩打野我玩射手啥的，现在嘞？各种不辅助，各种不打野，法师可见一大堆。我的天，一打起来发现都是坑，连我自己慢慢的也从一代射爹变成了手残党，再慢慢的，打野销声匿迹了。有打野吗？不野只会法师，行，又一局重开了就这样，一局又一局过去了，或重开，或常见的Defeat自然还有大家最爱的。很喜欢从前王者按照段位发钻石奖励，那样的段位真是一种莫名的自豪感，不像现在都是中单工具人卑微辅助只求上分，这样得来的段位乏味至极现在给的钻石奖励更多了，可是从各种要求（金银牌-胜场啥的）再到现在的肝游戏（历练值），我吐了呀好兄弟们。我的活跃时间已经挺少的了，基本就是等朋友们一起玩，然后今晚本来差两颗星上王者，然后忙碌了两三个小时胜一输四，emmm（猜猜看啥表情）我说这么多也就是怀念下以前的王者吧，我不会退游毕竟充的钱在那里。所以有朋友一起来玩吗？放心，我真是不折不扣的菜狗,1,0.0010362694300518134,2
24418168,2dp2dp,2021-04-27,iPhone X,,5,新赛季兵线改动和新装备增加 法师体验感加强 马克这个版本依旧无敌,0,0.0,10
24417514,trtrtrllleet,2021-04-27,OPPO Reno2,,1,这辈子玩过的最***的游戏，除了浪费时间还是浪费时间。,0,0.0,2
24417471,许音,2021-04-27,小米MI 9,59342.0,1,匹配机制挺厉害的，一星,1,0.0010362694300518134,2
24417411,风来吴山,2021-04-27,华为P30,60025.0,1,要不是没有零星，我都想打零星，什么破匹配机制给我匹配纯送恶心的队友？,1,0.0010362694300518134,2
24417094,雾溢,2021-04-27,小米MI 9,78011.0,1,抄LOL还能活到现在真牛逼,0,0.0,2
24417071,秋笙,2021-04-27,荣耀 Play3,59874.0,5,也该走了，但是不得不承认王者陪伴了我度过童年，加起来的话，1500多小时，其实我感觉我还是有可以说话的底气，荣耀王者、2600分都打过，但是到后来却没有了以前的快乐，是啊，现在技术是上来了，但是以前一直陪伴着自己男的朋友们，是否还在？我常常思考，他是否值得我耗费精力再去一直走下去？到头来却还是抵不过生活的压力，但是哪怕我走了，我还是得留下我曾经再过的记忆你的召唤师希望我们能再次相遇,1,0.0010362694300518134,10
24416982,小智,2021-04-27,华为畅享10e,12579.0,1,这他妈废物玩意，服务器卡的要死，有那么多钱，他喵肯定是被上次收了好吧，这游戏就一个字，废物他喵就是这个服务器，策划多半看见这个帖就要删号吧，就是心虚，***,1,0.0010362694300518134,2
24416867,Ayaya,2021-04-27,,2498.0,1,祝tx连夜倒闭,0,0.0,2
